descricao_alimento,kcal,carboidrato_g,proteina_g,lipideos_g,fibra_alimentar_g,base_por,fonte
"Arroz, integral, cozido",124.0,25.8,2.6,1.0,2.7,100g,TACO
"Arroz, integral, cru",360.0,77.5,7.3,1.9,4.8,100g,TACO
"Arroz, tipo 1, cozido",128.0,28.1,2.5,0.2,1.6,100g,TACO
"Arroz, tipo 1, cru",358.0,78.8,7.2,0.3,1.6,100g,TACO
"Arroz, tipo 2, cozido",130.0,28.2,2.6,0.4,1.1,100g,TACO
"Arroz, tipo 2, cru",358.0,78.9,7.2,0.3,1.7,100g,TACO
"Aveia, flocos, crua",394.0,66.6,13.9,8.5,9.1,100g,TACO
"Biscoito, doce, maisena",443.0,75.2,8.1,12.0,2.1,100g,TACO
"Biscoito, doce, recheado com chocolate",472.0,70.5,6.4,19.6,3.0,100g,TACO
"Biscoito, doce, recheado com morango",471.0,71.0,5.7,19.6,1.5,100g,TACO
"Biscoito, doce, wafer, recheado de chocolate",502.0,67.5,5.6,24.7,1.8,100g,TACO
"Biscoito, doce, wafer, recheado de morango",513.0,67.4,4.5,26.4,0.8,100g,TACO
"Biscoito, salgado, cream cracker",432.0,68.7,10.1,14.4,2.5,100g,TACO
"Bolo, mistura para",419.0,84.7,6.2,6.1,1.7,100g,TACO
"Bolo, pronto, aipim",324.0,47.9,4.4,12.7,0.7,100g,TACO
"Bolo, pronto, chocolate",410.0,54.7,6.2,18.5,1.4,100g,TACO
"Bolo, pronto, coco",333.0,52.3,5.7,11.3,1.1,100g,TACO
"Bolo, pronto, milho",311.0,45.1,4.8,12.4,0.7,100g,TACO
"Canjica, branca, crua",358.0,78.1,7.2,1.0,5.5,100g,TACO
"Canjica, com leite integral",112.0,23.6,2.4,1.2,1.2,100g,TACO
"Cereais, milho, flocos, com sal",370.0,80.8,7.3,1.6,5.3,100g,TACO
"Cereais, milho, flocos, sem sal",363.0,80.4,6.9,1.2,1.8,100g,TACO
"Cereais, mingau, milho, infantil",394.0,87.3,6.4,1.1,3.2,100g,TACO
"Cereais, mistura para vitamina, trigo, cevadae aveia",381.0,81.6,8.9,2.1,5.0,100g,TACO
"Cereal matinal, milho",365.0,83.8,7.2,1.0,4.1,100g,TACO
"Cereal matinal, milho, açúcar",377.0,88.8,4.7,0.7,2.1,100g,TACO
"Creme de arroz, pó",386.0,83.9,7.0,1.2,1.1,100g,TACO
